Unité;USD;JPY;DKK;GBP;SEK;CHF;ISK;NOK;BGN;CYP;CZK;EEK;HUF;LTL;LVL;MTL;PLN;RON;SIT;SKK;TRY;AUD;CAD;HKD;NZD;SGD;KRW;ZAR;CNY;PHP;MYR;THB;RUB;IDR;HRK;BRL;MXN;INR;ILS
13/01/1999;1,17440;131,89000;7,44320;0,70840;9,14000;1,59310;81,24000;8,74700;ND;0,58190;36,11300;15,64660;255,01000;4,69860;0,66760;0,44350;4,20330;1,31490;191,20160;42,79400;0,37640;1,86200;1,81230;9,10080;2,17440;1,98150;1377,93000;7,25430;ND;45,57300;4,46340;43,49240;26,44890;10215,59000;ND;ND;12,89460;ND;ND
14/01/1999;1,16530;132,74000;7,44370;0,70620;9,13500;1,59340;80,93000;8,72450;ND;0,58190;35,69800;15,64660;253,84000;4,66360;0,66590;0,44140;4,13350;1,31340;188,94410;42,75700;0,37510;1,83530;1,77070;9,02880;2,15700;1,96150;1382,23000;7,13160;ND;44,87000;4,42860;43,12170;26,57230;10081,16000;ND;ND;12,14990;ND;ND
15/01/1999;1,16260;131,74000;7,44410;0,70390;9,15700;1,59840;80,70000;8,71500;ND;0,58187;35,86000;15,64660;253,34000;4,65160;0,66170;0,44210;4,20000;1,31640;187,13330;42,73800;0,37420;1,83880;1,77970;9,01020;2,15820;1,95700;1375,76000;7,21970;ND;44,98700;4,41720;43,40420;26,56620;10414,70000;ND;ND;12,84950;ND;ND
18/01/1999;1,16120;132,90000;7,44310;0,70130;9,09300;1,60040;80,62000;8,65750;ND;0,58163;35,61500;15,64660;250,78000;4,64570;0,66250;0,44130;4,06670;1,32630;189,36390;42,72000;0,38200;1,82920;1,77170;8,99440;2,16710;1,95490;1371,26000;6,95960;ND;44,40300;4,41120;42,31880;27,20750;9809,19000;ND;ND;11,88130;ND;ND
19/01/1999;1,16160;132,14000;7,43800;0,70000;9,00450;1,60010;80,52000;8,63000;ND;0,58176;35,74500;15,64660;250,64000;4,64600;0,66100;0,44120;4,09730;1,33350;189,44320;42,73700;0,38210;1,82950;1,77390;8,99440;2,16140;1,95210;1364,47000;7,01610;ND;44,52100;4,40560;42,37470;26,75990;9955,16000;ND;ND;11,91670;ND;ND
20/01/1999;1,15750;131,59000;7,43780;0,70140;8,96450;1,60240;80,49000;8,60000;ND;0,58166;35,77300;15,64660;249,99000;4,62850;0,65910;0,44050;4,08470;1,32740;189,06660;42,66700;0,38040;1,80640;1,76260;8,96050;2,14990;1,93980;1349,24000;6,94500;ND;44,34600;4,38840;42,16000;26,89220;9802,62000;ND;ND;11,71960;ND;ND
21/01/1999;1,15720;130,34000;7,43850;0,70230;8,94300;1,60300;80,32000;8,60500;ND;0,58163;36,06000;15,64660;250,17000;4,62980;0,65950;0,44030;4,12770;1,32820;188,99750;42,82700;0,38030;1,81710;1,75290;8,96470;2,14890;1,93680;1356,82000;6,97970;ND;44,14000;4,39660;42,17450;26,61220;10008,50000;ND;ND;11,92290;ND;ND
22/01/1999;1,15670;131,88000;7,43720;0,70050;9,01100;1,59830;80,44000;8,62250;ND;0,58173;36,28700;15,64660;250,16000;4,63260;0,66030;0,44000;4,15870;1,32850;188,45870;42,90600;0,37820;1,82250;1,75150;8,97380;2,15190;1,94610;1365,80000;7,03000;ND;44,68700;4,39350;42,66130;27,00340;10303,55000;ND;ND;11,86650;ND;ND
25/01/1999;1,15840;132,09000;7,43670;0,69890;8,94000;1,59660;80,27000;8,61250;ND;0,58167;36,21100;15,64660;250,47000;4,63450;0,66040;0,44120;4,16070;1,33180;188,74380;42,94300;0,38010;1,83170;1,76200;8,97650;2,16590;1,95570;1366,16000;7,02410;ND;44,88300;4,40140;42,68160;26,87140;10829,65000;ND;ND;11,85470;ND;ND
26/01/1999;1,15820;131,81000;7,43600;0,69760;8,92100;1,60220;80,04000;8,61250;ND;0,58189;36,61500;15,64660;250,69000;4,63050;0,66210;0,43990;4,18370;1,33280;189,58210;42,93500;0,38050;1,83910;1,76090;8,98080;2,16690;1,95120;1360,47000;6,99550;ND;44,50000;4,39790;42,46320;26,61910;10618,70000;ND;ND;11,83970;ND;ND
27/01/1999;1,15290;131,91000;7,43580;0,69680;8,88200;1,60820;79,88000;8,59850;ND;0,58146;36,46400;15,64660;250,08000;4,61370;0,66070;0,44110;4,15880;1,33020;189,71670;42,89300;0,37980;1,83130;1,75260;8,93500;2,15940;1,94460;1354,55000;6,96660;ND;44,56600;4,37580;42,34580;26,57780;10579,24000;ND;ND;11,71600;ND;ND
28/01/1999;1,14100;132,25000;7,43590;0,69280;8,86500;1,61290;79,68000;8,57000;ND;0,58122;36,43200;15,64660;249,34000;4,56580;0,65720;0,43760;4,13810;1,31990;189,64000;42,71300;0,37850;1,82620;1,73740;8,84280;2,13650;1,92900;1341,07000;6,91450;ND;44,09800;4,33570;42,16180;26,16430;10440,63000;ND;ND;11,62840;ND;ND
29/01/1999;1,13840;132,10000;7,43590;0,69100;8,88000;1,61230;79,59000;8,57850;ND;0,58112;36,82700;15,64660;249,24000;4,55430;0,65510;0,43710;4,16100;1,32800;188,50000;42,72600;0,37790;1,80870;1,72600;8,81920;2,11070;1,92330;1337,33000;6,88040;ND;43,81900;4,32490;42,03190;26,34820;10158,00000;ND;ND;11,62050;ND;ND
01/02/1999;1,13380;130,88000;7,43630;0,69040;8,86000;1,60890;79,66000;8,53950;ND;0,58109;37,14200;15,64660;248,97000;4,53550;0,65230;0,43660;4,23600;1,34070;189,47270;42,88300;0,37960;1,78820;1,71230;8,78390;2,08610;1,91690;1331,58000;6,84250;ND;43,69900;4,30180;41,69390;26,24290;10089,07000;ND;ND;11,47160;ND;ND
02/02/1999;1,13370;127,70000;7,43680;0,68880;8,87750;1,60020;79,50000;8,58450;ND;0,58086;37,39500;15,64660;248,99000;4,53590;0,65060;0,43640;4,22960;1,35960;190,87530;42,70400;0,38020;1,77410;1,70790;8,78490;2,07600;1,91140;1326,43000;6,81350;ND;43,70400;4,30810;41,60320;26,43560;9975,71000;ND;ND;11,40460;ND;ND
03/02/1999;1,13370;126,86000;7,43720;0,69250;8,91500;1,59750;79,60000;8,62500;ND;0,58092;37,16800;15,64660;249,00000;4,53730;0,65000;0,43690;4,20140;1,36600;190,47610;42,46900;0,38020;1,76090;1,71510;8,78740;2,05660;1,91320;1327,18000;6,81350;ND;43,61000;4,30940;41,59700;26,53680;9554,39000;ND;ND;11,40580;ND;ND
